#{"t_start": 1768050674.0728588, "env_id": "None"}
r,l,t
437.2729,55,33.358727
437.4655,55,33.432682
437.3969,55,33.510156
437.3873,55,33.590878
437.3874,55,33.665891
437.3873,55,33.741839
437.3875,55,33.817052
437.4658,55,33.893978
437.4657,55,33.970202
437.2633,55,34.047813
437.2728,55,34.123019
437.4659,55,34.200766
437.3874,55,34.274945
437.3873,55,34.349165
437.3415,55,34.423194
437.3873,55,34.500133
437.3874,55,34.588164
437.4659,55,34.663067
437.3968,55,34.737006
437.3414,55,34.808928
437.3414,55,34.885235
437.397,55,34.959948
437.4656,55,35.032964
437.397,55,35.106625
437.3873,55,35.184928
437.3415,55,35.300924
437.3874,55,35.404729
437.3968,55,35.512041
437.3873,55,35.621829
437.3971,55,35.734866
437.2632,55,35.840485
437.3874,55,35.947342
437.3873,55,36.066405
437.4657,55,36.180042
437.0931,55,36.291326
437.4659,55,36.401763
437.3873,55,36.513067
437.4658,55,36.624704
437.3876,55,36.736131
437.4659,55,36.841712
437.3873,55,36.957127
384.4624,55,37.072493
437.3415,55,37.180374
437.3873,55,37.289186
437.397,55,37.39443
437.3968,55,37.498637
437.3875,55,37.597969
437.3414,55,37.695683
437.3413,55,37.805242
437.3969,55,37.91115
437.4657,55,38.02217
437.4658,55,38.148805
437.3876,55,38.26786
437.4658,55,38.385595
437.4658,55,38.494098
437.3416,55,38.577126
437.3873,55,38.679769
437.4658,55,38.800061
437.4657,55,38.911747
437.4657,55,39.02119
427.2633,55,39.140386
437.3416,55,39.260643
437.3873,55,39.369001
437.3415,55,39.481337
437.3873,55,39.587085
437.3416,55,39.701957
437.3971,55,39.815191
437.3874,55,39.902846
437.3875,55,39.983703
437.3874,55,40.061059
437.3968,55,40.139519
437.3415,55,40.218885
437.4657,55,40.29446
437.4657,55,40.377531
437.4658,55,40.454994
437.3972,55,40.528675
437.3414,55,40.613202
437.3415,55,40.695383
437.3873,55,40.776692
437.3416,55,40.85531
437.4656,55,40.932499
437.4657,55,41.011255
437.3414,55,41.086566
437.3968,55,41.165112
437.3971,55,41.240928
437.2729,55,41.320648
437.2631,55,41.399797
437.3875,55,41.477681
437.3874,55,41.556523
437.3873,55,41.632061
437.3874,55,41.716843
437.3873,55,41.798909
437.4657,55,41.876324
437.4656,55,41.955036
437.3874,55,42.032506
437.3416,55,42.12886
437.4656,55,42.213954
437.4656,55,42.292447
437.3415,55,42.371162
437.4657,55,42.447329
437.4656,55,42.536133
437.3874,55,42.633811
437.3874,55,42.733021
437.4656,55,42.808847
437.3969,55,42.889634
437.4659,55,42.969039
437.4655,55,43.050968
437.3875,55,43.134964
437.4657,55,43.211595
437.4659,55,43.29302
437.3874,55,43.373231
437.3414,55,43.451952
437.3874,55,43.532093
437.3873,55,43.608686
437.4659,55,43.687905
437.3874,55,43.770261
437.4658,55,43.863843
437.4659,55,43.939959
437.3874,55,44.02068
437.2633,55,44.102487
437.4657,55,44.181026
437.2632,55,44.262714
437.2728,55,44.342482
437.3415,55,44.42973
437.3873,55,44.512011
437.4655,55,44.598873
437.3972,55,44.686827
437.3873,55,44.768806
437.3874,55,44.849754
437.397,55,44.940459
437.3874,55,45.027626
437.3414,55,45.10693
437.3874,55,45.185888
437.397,55,45.270741
437.3415,55,45.350657
437.4659,55,45.439796
437.3873,55,45.518854
437.3874,55,45.604993
437.4657,55,45.684777
437.3188,55,45.767802
437.3416,55,45.852632
385.8033,55,45.933193
437.3874,55,46.014776
437.3415,55,46.09973
437.3874,55,46.179848
437.4656,55,46.262744
437.4657,55,46.349746
437.3875,55,46.436402
437.4659,55,46.517996
437.3415,55,46.597946
437.3874,55,46.679969
437.4659,55,46.765402
437.3875,55,46.847287
437.4657,55,46.926633
437.2729,55,47.010088
437.3414,55,47.099092
437.3875,55,47.181802
437.3187,55,47.26981
437.3414,55,47.355138
437.4655,55,47.444646
437.397,55,47.533124
384.4623,55,47.626106
437.2631,55,47.706593
437.3416,55,47.796872
437.4657,55,47.886152
437.3415,55,47.974944
437.3972,55,48.059206
437.3968,55,48.152767
437.4658,55,48.236837
437.3873,55,48.32306
437.4656,55,48.424089
437.397,55,48.509442
437.185,55,48.589084
437.3972,55,48.689607
437.397,55,48.791601
437.4658,55,48.88551
437.3873,55,48.97504
437.3873,55,49.066146
437.4659,55,49.164176
437.3874,55,49.259703
437.3874,55,49.352079
437.3874,55,49.450591
437.3875,55,49.545331
437.3415,55,49.631662
437.4657,55,49.716187
437.3874,55,49.812495
437.3874,55,49.917737
437.3873,55,50.020162
437.3417,55,50.110755
437.3968,55,50.193566
437.3876,55,50.293381
427.3873,55,50.378631
437.3873,55,50.464768
437.4659,55,50.557375
437.4656,55,50.649556
437.3416,55,50.747813
437.3415,55,50.847485
437.3873,55,50.943568
437.4657,55,51.046177
437.3874,55,51.145385
437.4655,55,51.236978
437.3873,55,60.59577
437.4655,55,60.66693
437.4658,55,60.741818
437.397,55,60.818897
437.3873,55,60.911722
437.3415,55,61.011888
437.3415,55,61.088784
437.4657,55,61.16412
437.3968,55,61.239341
437.4659,55,61.314983
437.3874,55,61.387062
437.4656,55,61.466954
437.3875,55,61.544038
437.3874,55,61.617189
437.4657,55,61.695521
437.4659,55,61.80078
437.3874,55,61.898786
437.4656,55,61.988739
437.2728,55,62.091123
437.3414,55,62.197418
437.3968,55,62.307524
437.4659,55,62.395371
437.4659,55,62.486932
437.4657,55,62.584934
437.2631,55,62.69551
437.3875,55,62.805654
437.397,55,62.910175
437.3415,55,63.021928
437.3415,55,63.113333
437.4659,55,63.208036
437.4658,55,63.30797
437.3875,55,63.408927
437.4658,55,63.506137
437.3415,55,63.607214
437.4656,55,63.703527
437.4656,55,63.806925
437.3874,55,63.907139
437.3874,55,63.989429
437.3873,55,64.074363
437.4657,55,64.174903
437.3873,55,64.273972
437.4658,55,64.361817
437.3414,55,64.446547
437.397,55,64.550705
437.3873,55,64.657044
437.4655,55,64.746397
437.3968,55,64.852167
437.3874,55,64.949395
437.3874,55,65.051417
437.3874,55,65.159022
437.3416,55,65.264275
437.4659,55,65.365541
437.3873,55,65.450668
437.3874,55,65.564197
437.4659,55,65.654633
437.3874,55,65.746347
437.4658,55,65.859923
437.3873,55,65.951443
437.3415,55,66.061226
437.3873,55,66.136126
437.4657,55,66.214767
437.4655,55,66.292331
437.3413,55,66.366975
437.2728,55,66.446105
437.2633,55,66.521996
437.397,55,66.59891
437.3415,55,66.674721
437.3873,55,66.751242
437.3414,55,66.832856
437.3968,55,66.908989
437.3874,55,66.984023
437.3968,55,67.058829
437.3874,55,67.137037
437.3874,55,67.210976
437.4657,55,67.283929
437.4655,55,67.358948
437.3415,55,67.435804
437.3874,55,67.516465
437.3874,55,67.607088
437.3874,55,67.691119
437.3968,55,67.766981
437.3875,55,67.845554
437.4659,55,67.922344
437.3873,55,67.999874
437.3873,55,68.076832
437.3873,55,68.153846
437.4659,55,68.232629
437.3874,55,68.304988
437.3874,55,68.385406
437.3417,55,68.462719
437.4657,55,68.540578
437.3968,55,68.618006
437.3968,55,68.694372
437.2633,55,68.76861
437.3414,55,68.84441
437.3873,55,68.923273
437.4659,55,69.001561
437.3875,55,69.07688
437.3415,55,69.151819
437.4657,55,69.225772
437.4655,55,69.311763
437.4658,55,69.390637
437.3873,55,69.466699
437.3415,55,69.542903
437.3875,55,69.622858
437.4659,55,69.699961
437.2633,55,69.78021
437.3968,55,69.861921
437.4656,55,69.961922
437.3188,55,70.041561
437.3415,55,70.146421
437.3971,55,70.237086
437.3416,55,70.320947
437.2727,55,70.423054
437.4659,55,70.509026
437.4656,55,70.597364
437.2728,55,70.699498
437.3874,55,70.785112
437.3873,55,70.87984
437.3873,55,70.958729
437.4657,55,71.056035
437.3873,55,71.150025
437.3873,55,71.233678
437.4657,55,71.311089
437.3873,55,71.410829
437.3415,55,71.492734
437.3873,55,71.59275
437.3415,55,71.685941
437.2633,55,71.787271
437.4659,55,71.867741
437.3873,55,71.95983
437.3969,55,72.061278
437.3875,55,72.156874
437.3416,55,72.236696
437.3875,55,72.342346
437.4657,55,72.42484
437.3417,55,72.527413
437.3971,55,72.624805
437.3873,55,72.717435
437.3874,55,72.817517
437.3874,55,72.916862
437.3873,55,73.00754
437.3188,55,73.101323
437.4657,55,73.205308
437.2631,55,73.308623
437.3969,55,73.405999
437.3415,55,73.50662
437.2728,55,73.593915
437.4655,55,73.69879
437.4656,55,73.792145
437.3414,55,73.886332
437.3415,55,73.977072
437.4657,55,74.072114
437.4657,55,74.160436
437.4656,55,74.251883
437.4659,55,74.352809
437.4657,55,74.449403
437.4659,55,74.536423
437.2727,55,74.626795
437.4656,55,74.720732
437.3414,55,74.811037
437.4656,55,74.900895
437.2632,55,74.98881
437.3873,55,75.075714
437.3874,55,75.162364
437.3873,55,75.25666
437.2632,55,75.343133
437.3873,55,75.433404
437.4657,55,75.518941
437.3413,55,75.606526
437.3415,55,75.690952
437.2729,55,75.781615
437.3873,55,75.875166
437.3416,55,75.968466
437.3186,55,76.061886
437.2727,55,76.156699
437.4659,55,76.244359
437.3873,55,76.334746
437.3874,55,76.425615
437.397,55,76.518316
437.3873,55,76.601845
437.4655,55,76.68941
437.4657,55,76.788598
437.4657,55,76.874551
437.2632,55,76.961405
437.3874,55,77.048555
437.3874,55,77.140498
422.3875,55,77.231222
437.3873,55,77.316422
437.4655,55,77.408741
437.3414,55,77.493402
437.4659,55,77.580853
437.4657,55,77.667817
437.3875,55,77.750643
437.3874,55,77.834943
437.3874,55,77.923639
437.3874,55,78.004688
437.4657,55,78.084924
437.3873,55,78.16796
437.3416,55,78.251633
437.3873,55,78.329326
437.3873,55,78.410019
437.3416,55,78.490771
437.4655,55,78.57161
437.2632,55,78.657232
437.4655,55,78.743195
437.3873,55,78.820308
437.3874,55,78.897531
437.3874,55,78.984781
437.3873,55,79.067159
437.3874,55,79.14576
437.4656,55,79.226982
437.4657,55,79.304707
437.3874,55,79.384076
437.3874,55,79.46998
437.3874,55,79.55195
437.3874,55,79.633765
